film,year_film,year_ceremony,category,imdb_score_x,num_voted_users_x,budget_x,language_x,country_x,gross_x,genres_x,num_user_for_reviews_x,duration_x,director_name
King Kong,2005,2006,SOUND MIXING,7.2,316018,207000000.0,English,New Zealand,218051260,Action|Adventure|Drama|Romance,2618,201,Peter Jackson
King Kong,2005,2006,SOUND MIXING,7.2,316018,207000000.0,English,New Zealand,218051260,Action|Adventure|Drama|Romance,2618,201,Peter Jackson
King Kong,2005,2006,VISUAL EFFECTS,7.2,316018,207000000.0,English,New Zealand,218051260,Action|Adventure|Drama|Romance,2618,201,Peter Jackson
King Kong,2005,2006,VISUAL EFFECTS,7.2,316018,207000000.0,English,New Zealand,218051260,Action|Adventure|Drama|Romance,2618,201,Peter Jackson
King Kong,2005,2006,VISUAL EFFECTS,7.2,316018,207000000.0,English,New Zealand,218051260,Action|Adventure|Drama|Romance,2618,201,Peter Jackson
King Kong,2005,2006,SOUND EDITING,7.2,316020,207000000.0,English,New Zealand,218051260,Action|Adventure|Drama|Romance,2618,201,Peter Jackson
King Kong,2005,2006,SOUND EDITING,7.2,316020,207000000.0,English,New Zealand,218051260,Action|Adventure|Drama|Romance,2618,201,Peter Jackson
King Kong,2005,2006,SOUND EDITING,7.2,316020,207000000.0,English,New Zealand,218051260,Action|Adventure|Drama|Romance,2618,201,Peter Jackson
King Kong,2005,2006,SOUND MIXING,7.2,316020,207000000.0,English,New Zealand,218051260,Action|Adventure|Drama|Romance,2618,201,Peter Jackson
King Kong,2005,2006,SOUND MIXING,7.2,316020,207000000.0,English,New Zealand,218051260,Action|Adventure|Drama|Romance,2618,201,Peter Jackson
King Kong,2005,2006,SOUND MIXING,7.2,316020,207000000.0,English,New Zealand,218051260,Action|Adventure|Drama|Romance,2618,201,Peter Jackson
King Kong,2005,2006,VISUAL EFFECTS,7.2,316020,207000000.0,English,New Zealand,218051260,Action|Adventure|Drama|Romance,2618,201,Peter Jackson
King Kong,2005,2006,VISUAL EFFECTS,7.2,316020,207000000.0,English,New Zealand,218051260,Action|Adventure|Drama|Romance,2618,201,Peter Jackson
King Kong,2005,2006,VISUAL EFFECTS,7.2,316020,207000000.0,English,New Zealand,218051260,Action|Adventure|Drama|Romance,2618,201,Peter Jackson
